Species;Area;Realm;Cryptogenic;Introduced;Dispersal;Established;Eradicated;Intentional_Release;Year;Reference Year;Reference
Hypsipyla grandella;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Neoleucinodes elegantalis;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pectinophora gossypiella;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera frugiperda;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Crocidosema plebejana;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Hypsipyla grandella;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Gymnandrosoma aurantianum;Brazil;Neotropical;;;;1.0;0.0;;1993.0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Erionota thrax;Indian Asian Islands;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Sitotroga cerealella;Indian Asian Islands;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phyllocnistis citrella;Indian Asian Islands;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Helicoverpa armigera;Indian Asian Islands;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera litura;Indian Asian Islands;Oriental;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Plutella xylostella;Indian Asian Islands;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Conogethes punctiferalis;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phthorimaea absoluta;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Erionota thrax;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pectinophora gossypiella;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Sitotroga cerealella;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phyllocnistis citrella;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera frugiperda;India;Oriental;;1.0;;1.0;0.0;;2018.0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Helicoverpa armigera;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Papilio demoleus;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Agrotis ipsilon;India;Oriental;0.0;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Chilo partellus;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera litura;India;Oriental;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Plutella xylostella;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Carposina sasakii;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Conogethes punctiferalis;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Hyphantria cunea;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pieris rapae;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pectinophora gossypiella;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera frugiperda;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Helicoverpa armigera;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Lymantria dispar;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Agrotis ipsilon;China;Sino-Japanese;0.0;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera litura;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Plutella xylostella;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phthorimaea operculella;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pieris rapae;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pectinophora gossypiella;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera frugiperda;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Helicoverpa zea;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Duponchelia fovealis;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Agrotis ipsilon;United States;Nearctic;0.0;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pyroderces rileyi;United States;Nearctic;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Plutella xylostella;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Galleria mellonella;United States;Nearctic;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera eridania;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Hyphantria cunea;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pieris rapae;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pectinophora gossypiella;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera frugiperda;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Helicoverpa zea;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Lymantria dispar;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Mythimna unipuncta;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Ostrinia nubilalis;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Agrotis ipsilon;United States;Nearctic;0.0;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pyroderces rileyi;United States;Nearctic;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Plutella xylostella;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Grapholita molesta;United States;Nearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Galleria mellonella;United States;Nearctic;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Erionota torus;India;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Sitotroga cerealella;India;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phyllocnistis citrella;India;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera frugiperda;India;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Lymantria mathura;India;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Plutella xylostella;India;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Cactoblastis cactorum;Saint Helena, Ascension and Tris;Afrotropical;;1.0;;1.0;0.0;;1974.0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Helicoverpa armigera;Saint Helena, Ascension and Tris;Afrotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Crocidosema plebejana;Saint Helena, Ascension and Tris;Afrotropical;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera littoralis;Saint Helena, Ascension and Tris;Afrotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pieris brassicae;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phthorimaea operculella;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Erionota thrax;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pectinophora gossypiella;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Sitotroga cerealella;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phyllocnistis citrella;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera frugiperda;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Helicoverpa armigera;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Papilio demoleus;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Lymantria mathura;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Agrotis ipsilon;India;Oriental;0.0;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Chilo suppressalis;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Chilo partellus;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera litura;India;Oriental;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Plutella xylostella;India;Oriental;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pieris brassicae;Azores;Palearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phthorimaea absoluta;Azores;Palearctic;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phthorimaea operculella;Azores;Palearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phyllocnistis citrella;Azores;Palearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Opogona sacchari;Azores;Palearctic;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Helicoverpa armigera;Azores;Palearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Cydalima perspectalis;Azores;Palearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Noctua pronuba;Azores;Palearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Cryptoblabes gnidiella;Azores;Palearctic;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Chrysodeixis chalcites;Azores;Palearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Agrotis ipsilon;Azores;Palearctic;0.0;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera littoralis;Azores;Palearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Autographa gamma;Azores;Palearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera litura;Azores;Palearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Epiphyas postvittana;Azores;Palearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Plutella xylostella;Azores;Palearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Grapholita molesta;Azores;Palearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Prays citri;Azores;Palearctic;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Galleria mellonella;Azores;Palearctic;;1.0;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phthorimaea absoluta;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phthorimaea operculella;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Pectinophora gossypiella;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera frugiperda;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Helicoverpa zea;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Helicoverpa armigera;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Gymnandrosoma aurantianum;Brazil;Neotropical;;;;1.0;0.0;;1931.0;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Stenoma catenifer;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Plutella xylostella;Brazil;Neotropical;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Carposina sasakii;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Hyphantria cunea;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Leucoptera malifoliella;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera frugiperda;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Opogona sacchari;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Helicoverpa armigera;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Dendrolimus punctatus;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Adoxophyes orana;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Lymantria dispar;China;Sino-Japanese;;;;1.0;0.0;;;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
